y,u,mut,k,eps,v2,nuSA,T,alphat,epst,kt,om,fv2
1.6067163378,17.4225591172,0.0765518168,3.0816452095,7.1102246321,0.0666666667,0.0062838586,0.3051705046,0.0850575742,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.6228123217,17.2784735858,0.0746227107,3.1673479511,7.5371781784,0.0666666667,0.0062540513,0.3018210455,0.0829141230,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.6384189492,17.1321621662,0.0726028187,3.2525152238,7.9851844766,0.0666666667,0.0062251501,0.2984918892,0.0806697986,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.6535393936,16.9836120977,0.0705031731,3.3370628072,8.4552959135,0.0666666667,0.0061971493,0.2951796997,0.0783368590,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.6681778223,16.8328016029,0.0683347084,3.4208994505,8.9486127777,0.0666666667,0.0061700411,0.2918811849,0.0759274538,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.6823393191,16.6796998777,0.0661081756,3.5039253648,9.4662827341,0.0666666667,0.0061438161,0.2885930834,0.0734535285,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.6960298066,16.5242670160,0.0638340667,3.5860306751,10.0094999461,0.0666666667,0.0061184633,0.2853121519,0.0709267408,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7092559693,16.3664538725,0.0615225489,3.6670938195,10.5795037076,0.0666666667,0.0060939704,0.2820351516,0.0683583877,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7220251786,16.2062018599,0.0591834094,3.7469798759,11.1775764166,0.0666666667,0.0060703237,0.2787588341,0.0657593438,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7343454187,16.0434426808,0.0568260091,3.8255388026,11.8050406673,0.0666666667,0.0060475085,0.2754799277,0.0631400101,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7462252162,15.8780979922,0.0544592463,3.9026035737,12.4632551806,0.0666666667,0.0060255089,0.2721951221,0.0605102737,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7576735710,15.7100790018,0.0520915294,3.9779881953,13.1536092093,0.0666666667,0.0060043082,0.2689010535,0.0578794771,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7686998906,15.5392859947,0.0497307578,4.0514855845,13.8775149552,0.0666666667,0.0059838891,0.2655942878,0.0552563975,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7793139285,15.3656077905,0.0473843106,4.1228652977,14.6363974104,0.0666666667,0.0059642335,0.2622713046,0.0526492340,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7895257240,15.1889211319,0.0450590435,4.1918710927,15.4316808805,0.0666666667,0.0059453227,0.2589284789,0.0500656039,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.7993455473,15.0090900072,0.0427612911,4.2582183171,16.2647712631,0.0666666667,0.0059271379,0.2555620632,0.0475125456,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8087838469,14.8259649111,0.0404968758,4.3215911146,17.1370329361,0.0666666667,0.0059096595,0.2521681680,0.0449965287,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8178512012,14.6393820528,0.0382711219,4.3816394528,18.0497588537,0.0666666667,0.0058928681,0.2487427417,0.0425234687,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8265582733,14.4491625219,0.0360888726,4.4379759849,19.0041321557,0.0666666667,0.0058767439,0.2452815506,0.0400987474,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8349157693,14.2551114307,0.0339545124,4.4901727746,20.0011772751,0.0666666667,0.0058612671,0.2417801570,0.0377272360,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8429344002,14.0570170569,0.0318719896,4.5377579336,21.0416981788,0.0666666667,0.0058464178,0.2382338988,0.0354133218,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8506248471,13.8546500192,0.0298448425,4.5802122561,22.1262010305,0.0666666667,0.0058321762,0.2346378683,0.0331609361,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8579977295,13.6477625331,0.0278762248,4.6169659716,23.2547982335,0.0666666667,0.0058185227,0.2309868918,0.0309735831,0.0010000000,0.1000000000,1.0000000000,0.0000000000
1.8650635767,13.4360878056,0.0259689323,4.6473957965,24.4270905646,0.0666666667,0.0058054378,0.2272755120,0.0288543693,0.0010000000,0.1000000000,1.0000000000,0.0000000000
